Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEB-JUL
 01/05  21 ,20.46666667,41.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  22 ,20.45,41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  23 ,19.95,43.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  24 ,19.15,45.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  01 ,18.56666667,48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  02 ,18.3,46.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  03 ,18.35,45.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  04 ,17.71666667,47.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  05 ,17.05,46.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  06 ,17.25,43.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  07 ,17.33333333,42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  08 ,16.76666667,41.66666667,19.51721667,64.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  09 ,19.55,33.33333333,78.02896667,394.2666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  10 ,20.85,32.33333333,124.95405,589.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  11 ,21.21666667,34.16666667,159.5686,695.8833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  12 ,22.35,31.66666667,181.1115833,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  13 ,23.98333333,27.5,199.4631667,759.5833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  14 ,25.28333333,25.66666667,207.34965,749.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  15 ,26.55,21.66666667,215.9227167,674.4666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  16 ,26.75,19.66666667,204.7710833,520.3666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  17 ,26.81666667,19.83333333,151.2907,337.1333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  18 ,26,22,60.20226667,122.2916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  19 ,24.1,26.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  20 ,21.2,31.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  21 ,20.55,33.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  22 ,20.25,34.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  23 ,20.33333333,29.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/06  24 ,20.26666667,27.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  01 ,19.6,31.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  02 ,18.31666667,37.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  03 ,17.33333333,40.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  04 ,16.38333333,42.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  05 ,15.91666667,42.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  06 ,14.45,46.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  07 ,13.66666667,48.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  08 ,13.71666667,47.66666667,18.63255,87.9415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  09 ,16.63333333,39.5,65.93936667,466.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  10 ,19.75,30.66666667,99.90785,683.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  11 ,20.3,29.33333333,124.3195,787.6333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  12 ,21.5,26.16666667,131.9220833,860.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  13 ,22.66666667,24.16666667,146.5833833,874.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  14 ,23.7,22.33333333,158.5705,842.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  15 ,25.11666667,20.83333333,162.46925,794.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  16 ,26.05,19.83333333,153.1167833,718.9333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  17 ,25.93333333,20.66666667,121.6776833,584.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  18 ,25.38333333,22.5,63.67256667,304.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  19 ,23.7,25.83333333,0,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  20 ,20.76666667,31.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  21 ,19.41666667,33.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  22 ,18.7,35.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  23 ,18.38333333,38.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/07  24 ,18.15,39.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  01 ,17.23333333,41.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  02 ,16.68333333,42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  03 ,16.21666667,42.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  04 ,15.48333333,44.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  05 ,15.05,44.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  06 ,14.96666667,42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  07 ,14.43333333,43.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  08 ,14.7,42.16666667,17.3098,94.30333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  09 ,17.48333333,36.66666667,64.75901667,460.2833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  10 ,20.3,31.5,100.6488167,663.6833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  11 ,21.18333333,32.83333333,135.2347667,755.0666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  12 ,22.58333333,30.5,160.6236833,785.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  13 ,24.03333333,27.16666667,181.6776833,770.6833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  14 ,25.41666667,25.16666667,194.5082667,752.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  15 ,26.3,21.83333333,199.5789667,700.0166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  16 ,27.18333333,20,184.3340833,583.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  17 ,27.23333333,20.16666667,133.3018167,397.6166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  18 ,26.6,21.33333333,60.25916667,162.8083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  19 ,24.5,26,1.722283333,0.960666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  20 ,21.53333333,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  21 ,20.8,30.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  22 ,21.01666667,28.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  23 ,20.91666667,25.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/08  24 ,19.11666667,29.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  01 ,18.6,31.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  02 ,17.7,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  03 ,17.3,34.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  04 ,16.36666667,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  05 ,15.13333333,41.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  06 ,14.83333333,41.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  07 ,14.28333333,42.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  08 ,13.43333333,45.16666667,16.40053333,98.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  09 ,16.53333333,38,59.01481667,512.2833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  10 ,18.71666667,32,95.25598333,707.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  11 ,20.2,27.83333333,122.7515833,789.0333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  12 ,21.46666667,24.5,135.82335,855.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  13 ,22.81666667,21.66666667,148.4091833,861.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  14 ,24.03333333,18.83333333,161.6478667,844.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  15 ,25.65,15,158.5058833,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  16 ,26.21666667,13.66666667,158.2983667,710.3166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  17 ,26.5,12.66666667,135.0366,531.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  18 ,26.15,12.5,64.14546667,232.8166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  19 ,23.6,16.33333333,2.091833333,3.151666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  20 ,20.1,26.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
